gap=.1_data2_Hom_L,gap=.2_data2_Hom_L,gap=.3_data2_Hom_L,gap=.4_data2_Hom_L,gap=.5_data2_Hom_L,gap=.1_data2_Hom_U,gap=.2_data2_Hom_U,gap=.3_data2_Hom_U,gap=.4_data2_Hom_U,gap=.5_data2_Hom_U,gap=.1_data2_Hom_D,gap=.2_data2_Hom_D,gap=.3_data2_Hom_D,gap=.4_data2_Hom_D,gap=.5_data2_Hom_D
218143
45208
20574
11106
6415
197500
51400
22800
11500
7400
286646
41989
37541
19990
13329
