gap=.1_data2_Hom_U,gap=.2_data2_Hom_U,gap=.3_data2_Hom_U,gap=.4_data2_Hom_U,gap=.5_data2_Hom_U,gap=.1_data2_Hom_L,gap=.2_data2_Hom_L,gap=.3_data2_Hom_L,gap=.4_data2_Hom_L,gap=.5_data2_Hom_L,gap=.1_data2_Hom_D,gap=.2_data2_Hom_D,gap=.3_data2_Hom_D,gap=.4_data2_Hom_D,gap=.5_data2_Hom_D
1103562
270246
123179
74449
25990
1185500
270500
116500
76000
32000
1000010
497024
217790
118870
51196
