gap=.1_data2_Hom_L,gap=.2_data2_Hom_L,gap=.3_data2_Hom_L,gap=.4_data2_Hom_L,gap=.5_data2_Hom_L,gap=.1_data2_Hom_U,gap=.2_data2_Hom_U,gap=.3_data2_Hom_U,gap=.4_data2_Hom_U,gap=.5_data2_Hom_U,gap=.1_data2_Hom_D,gap=.2_data2_Hom_D,gap=.3_data2_Hom_D,gap=.4_data2_Hom_D,gap=.5_data2_Hom_D
118500
34000
17000
12000
8500
113126
32321
9750
5204
4288
188314
49416
21672
12123
7559
